scenario,region,sector,subRegion,class,units,x,value,subRegType,classPalette
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2010,44.76158,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2015,41.79546,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2020,45.1857,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2025,49.08642,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2030,53.77119,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2035,56.82748,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2040,63.06242,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2045,64.39786,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,AmurR,Corn,Agricultural Production (Mt),2050,63.38909,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2010,23.71391,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2015,23.50852,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2020,24.60937,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2025,27.12357,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2030,28.48152,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2035,30.37723,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2040,33.04887,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2045,34.29555,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,BoHai,Corn,Agricultural Production (Mt),2050,36.05072,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2010,15.62146,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2015,15.53157,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2020,15.52204,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2025,15.4522,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2030,15.41357,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2035,15.45738,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2040,15.79066,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2045,15.89587,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ChinaCst,Corn,Agricultural Production (Mt),2050,16.43315,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2010,0.0070277,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2015,0.006735565,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2020,0.007594334,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2025,0.007540058,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2030,0.007508175,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2035,0.007492737,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2040,0.007305348,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2045,0.007303185,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,GangesR,Corn,Agricultural Production (Mt),2050,0.006373869,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2010,2.0095639,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2015,1.8733194,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2020,2.0912697,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2025,2.0657272,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2030,2.2091068,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2035,2.4244206,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2040,2.880205,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2045,3.4251392,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Gobi,Corn,Agricultural Production (Mt),2050,3.700518,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2010,0.04085622,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2015,0.04474787,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2020,0.04775665,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2025,0.04955376,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2030,0.05095412,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2035,0.0533048,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2040,0.0573741,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2045,0.0594382,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hainan,Corn,Agricultural Production (Mt),2050,0.058466,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2010,0.8080012,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2015,0.8929779,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2020,0.9472134,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2025,1.0221657,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2030,1.1220357,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2035,1.136726,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2040,1.1550042,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2045,1.2186513,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Hong,Corn,Agricultural Production (Mt),2050,1.2278416,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2010,20.29086,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2015,19.87878,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2020,19.76605,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2025,20.76698,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2030,20.85429,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2035,21.30655,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2040,22.32363,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2045,23.41996,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,HuangHeR,Corn,Agricultural Production (Mt),2050,24.67882,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2010,0.001691,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2015,0.001623,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2020,0.001926,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2025,0.002192,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2030,0.002372,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2035,0.00272024,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2040,0.00304219,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2045,0.00331105,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IndusR,Corn,Agricultural Production (Mt),2050,0.00340384,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2010,0.0986253,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2015,0.0975986,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2020,0.1019819,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2025,0.1027747,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2030,0.1043704,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2035,0.1034108,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2040,0.1108226,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2045,0.1178834,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,IrrawaddyR,Corn,Agricultural Production (Mt),2050,0.1152171,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2010,0.5951558,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2015,0.6047607,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2020,0.6306429,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2025,0.654563,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2030,0.6855827,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2035,0.7548369,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2040,0.8468193,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2045,0.8657799,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,LBalkash,Corn,Agricultural Production (Mt),2050,0.8853947,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2010,0.6016182,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2015,0.7682061,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2020,0.8331897,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2025,0.8100034,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2030,0.9205795,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2035,0.9370626,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2040,0.9558716,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2045,0.9581489,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Mekong,Corn,Agricultural Production (Mt),2050,0.9361342,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2010,0.0565427,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2015,0.06485518,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2020,0.07103053,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2025,0.07443934,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2030,0.08259463,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2035,0.08881779,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2040,0.10289815,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2045,0.10848458,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,ObR,Corn,Agricultural Production (Mt),2050,0.1114042,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2010,0.2655205,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2015,0.245107,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2020,0.2686877,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2025,0.3022879,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2030,0.3282567,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2035,0.3286318,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2040,0.3695005,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2045,0.3911065,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,RusCstSE,Corn,Agricultural Production (Mt),2050,0.3996293,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2010,0.3497425,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2015,0.3870609,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2020,0.4009775,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2025,0.4348931,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2030,0.5143985,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2035,0.5579826,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2040,0.6905438,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2045,0.7438232,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Salween,Corn,Agricultural Production (Mt),2050,0.7375258,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2010,0.204638,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2015,0.2000647,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2020,0.1911834,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2025,0.1958266,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2030,0.1936623,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2035,0.1964143,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2040,0.2008409,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2045,0.2010851,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SChinaSea,Corn,Agricultural Production (Mt),2050,0.2047255,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2010,3.75E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2015,3.77E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2020,3.96E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2025,4.06E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2030,4.60E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2035,4.89E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2040,5.95E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2045,6.16E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,SyrDaryaR,Corn,Agricultural Production (Mt),2050,6.63E-05,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2010,0.31534,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2015,0.315778,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2020,0.326343,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2025,0.336833,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2030,0.339393,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2035,0.342868,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2040,0.357819,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2045,0.362038,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Taiwan,Corn,Agricultural Production (Mt),2050,0.36526,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2010,1.9148382,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2015,1.8177125,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2020,1.9128783,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2025,2.0232494,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2030,2.1145332,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2035,2.3506693,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2040,2.6484554,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2045,2.7918954,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Tarim,Corn,Agricultural Production (Mt),2050,2.9097403,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2010,4.331683,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2015,3.947381,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2020,3.968834,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2025,4.170274,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2030,4.504553,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2035,5.021287,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2040,5.109983,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2045,5.608563,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,XunJiang,Corn,Agricultural Production (Mt),2050,5.778015,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2010,30.38098,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2015,29.36788,subBasin,pal_green
SSP2_CI_AgWat,China,Corn,Yangtze,Corn,Agricultural Production (Mt),2020,29.99277,subBasin,pal_green
