"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",1990,101.823564166667,0.366564831
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2005,147.530000000001,0.531108
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2010,181.500971916668,0.6534034989
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2015,198.057792472224,0.7130080529
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2020,212.304051611113,0.7642945858
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2025,241.712457305557,0.8701648463
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2030,269.490367722224,0.9701653238
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2035,294.858492222225,1.061490572
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2040,316.649881722225,1.1399395742
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2045,334.97083202778,1.2058949953
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2050,"Year","Vint_2050","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2050,350.865186250003,1.2631146705
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2055,"Year","Vint_2055","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2055,364.216723083336,1.3111802031
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2060,"Year","Vint_2060","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2060,375.083658250003,1.3503011697
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2065,"Year","Vint_2065","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2065,383.517215333336,1.3806619752
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2070,"Year","Vint_2070","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2070,389.148887305559,1.4009359943
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2075,"Year","Vint_2075","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2075,392.002989972225,1.4112107639
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2080,"Year","Vint_2080","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2080,392.577840222225,1.4132802248
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2085,"Year","Vint_2085","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2085,392.271698555559,1.4121781148
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2090,"Year","Vint_2090","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2090,390.537181083336,1.4059338519
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2095,"Year","Vint_2095","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2095,387.014791750003,1.3932532503
"Eg1","Argentina","finalNrgbySec","Sources","building","class2",2100,"Year","Vint_2100","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2100,384.185702388892,1.3830685286
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",1975,"Year","Vint_1975","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",1975,161.612916666668,0.5818065
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",1990,193.985677777779,0.69834844
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2005,350.516886111114,1.26186079
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2010,344.286911111114,1.23943288
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2015,373.484808333336,1.34454531
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2020,400.33319916667,1.441199517
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2025,440.240412222226,1.584865484
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2030,476.447326944448,1.715210377
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2035,508.643560000004,1.831116816
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2040,536.653171111115,1.931951416
"Eg1","Argentina","finalNrgbySec","Sources","industry","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen1","Total final energy by aggregate end-use sector","EJ",2045,560.795158333338,2.01886257
